Nucleo,dis_bomberos_drive_08:30,dis_bomberos_drive_11:00,dis_bomberos_transit_08:30,dis_bomberos_transit_11:00,dis_csmental_drive_08:30,dis_csmental_drive_11:00,dis_csmental_transit_08:30,dis_csmental_transit_11:00,dis_hospt2_1_drive_08:30,dis_hospt2_1_drive_11:00,dis_hospt2_1_transit_08:30,dis_hospt2_1_transit_11:00,dis_hospt2_2_drive_08:30,dis_hospt2_2_drive_11:00,dis_hospt2_2_transit_08:30,dis_hospt2_2_transit_11:00,dis_hospt2_3_drive_08:30,dis_hospt2_3_drive_11:00,dis_hospt2_3_transit_08:30,dis_hospt2_3_transit_11:00,dis_hospt2_4_drive_08:30,dis_hospt2_4_drive_11:00,dis_hospt2_4_transit_08:30,dis_hospt2_4_transit_11:00,dis_hospt3_1_drive_08:30,dis_hospt3_1_drive_11:00,dis_hospt3_1_transit_08:30,dis_hospt3_1_transit_11:00,dis_hospt3_2_drive_08:30,dis_hospt3_2_drive_11:00,dis_hospt3_2_transit_08:30,dis_hospt3_2_transit_11:00,dis_hospt3_3_drive_08:30,dis_hospt3_3_drive_11:00,dis_hospt3_3_transit_08:30,dis_hospt3_3_transit_11:00,dis_juzgados_drive_08:30,dis_juzgados_drive_11:00,dis_juzgados_transit_08:30,dis_juzgados_transit_11:00,dur_bomberos_drive_08:30,dur_bomberos_drive_11:00,dur_bomberos_transit_08:30,dur_bomberos_transit_11:00,dur_csmental_drive_08:30,dur_csmental_drive_11:00,dur_csmental_transit_08:30,dur_csmental_transit_11:00,dur_hospt2_1_drive_08:30,dur_hospt2_1_drive_11:00,dur_hospt2_1_transit_08:30,dur_hospt2_1_transit_11:00,dur_hospt2_2_drive_08:30,dur_hospt2_2_drive_11:00,dur_hospt2_2_transit_08:30,dur_hospt2_2_transit_11:00,dur_hospt2_3_drive_08:30,dur_hospt2_3_drive_11:00,dur_hospt2_3_transit_08:30,dur_hospt2_3_transit_11:00,dur_hospt2_4_drive_08:30,dur_hospt2_4_drive_11:00,dur_hospt2_4_transit_08:30,dur_hospt2_4_transit_11:00,dur_hospt3_1_drive_08:30,dur_hospt3_1_drive_11:00,dur_hospt3_1_transit_08:30,dur_hospt3_1_transit_11:00,dur_hospt3_2_drive_08:30,dur_hospt3_2_drive_11:00,dur_hospt3_2_transit_08:30,dur_hospt3_2_transit_11:00,dur_hospt3_3_drive_08:30,dur_hospt3_3_drive_11:00,dur_hospt3_3_transit_08:30,dur_hospt3_3_transit_11:00,dur_juzgados_drive_08:30,dur_juzgados_drive_11:00,dur_juzgados_transit_08:30,dur_juzgados_transit_11:00,mean_dis_bomberos,mean_dis_csmental,mean_dis_hospt2,mean_dis_hospt3,mean_dis_juzgados,mean_dur_bomberos,mean_dur_csmental,mean_dur_hospt2,mean_dur_hospt3,mean_dur_juzgados,mean_dis_all,mean_dur_all
0540701,10256,10256,13282,13282,9046,9046,14839,14839,30529,30529,31577,32095,,,,,,,,,,,,,47368,47368,50267,62011,47285,47285,50424,61814,30301,30301,42616,42616,6215,6215,8122,8122,910,922,2622,2622,950,1010,2914,2914,2141,2169,4877,6868,,,,,,,,,,,,,3200,2538,5781,5317,3229,2548,5936,5500,1829,1742,5829,6222,517,505,1746,1746,11769.0,11942.5,31182.5,46638.0,7168.5,1769.0,1947.0,4013.75,4139.25,1128.5,21740.1,2599.5
0540801,7284,7284,10418,10418,6074,6074,11975,11975,27556,27556,28713,29230,,,,,,,,,,,,,48321,47638,47402,59147,48238,47555,47559,58950,30571,30571,39751,39751,3243,3243,2783,5257,673,690,2357,2357,721,779,2649,2649,1911,1941,4612,6603,,,,,,,,,,,,,3097,2501,5516,5052,3082,2521,5671,5235,1805,1701,5564,5957,295,289,2201,1481,8851.0,9024.5,28263.75,45454.5,3631.5,1519.25,1699.5,3766.75,3975.1666666666665,1066.5,19045.05,2405.4333333333334
0540101,8146,8146,12035,12035,6936,6936,13592,13592,28419,28419,30330,30848,,,,,,,,,,,,,46111,46111,49020,60764,46028,46028,49177,60567,29044,29044,41369,41369,4105,4105,6875,6875,681,697,2449,2449,728,785,2741,2741,1918,1944,4704,6695,,,,,,,,,,,,,3083,2402,5608,5144,3061,2423,5763,5327,1717,1620,5656,6049,301,297,1573,1573,10090.5,10264.0,29504.0,45386.0,5490.0,1569.0,1748.75,3815.25,3987.75,936.0,20146.9,2411.35
1590101,28502,28502,47262,47262,22718,22718,48819,28435,48774,48774,104015,107174,,,,,,,,,,,,,82704,82704,64512,64866,82621,82621,64669,64669,49210,64320,55782,55782,23843,23843,42101,42101,2168,2342,5997,4179,1815,1984,6152,4510,3365,3532,7579,7359,,,,,,,,,,,,,4291,3998,3623,3658,4311,4040,3778,3820,3280,3225,4116,4098,1717,1873,5439,3621,37882.0,30672.5,77184.25,67871.66666666667,32972.0,3671.5,3615.25,5458.75,3853.1666666666665,3162.5,49316.48333333334,3952.2333333333336
1590201,26421,26421,45213,45213,20636,20636,46770,26386,46693,46693,101966,105125,,,,,,,,,,,,,80622,80622,62463,62817,80539,80539,62620,62620,62239,62239,53733,53733,21762,21762,40052,40052,1948,2084,5712,3893,1589,1732,5867,4026,3199,3338,7294,7073,,,,,,,,,,,,,4124,3752,3338,3372,4113,3772,3493,3534,3046,2963,3831,3812,1514,1621,5154,3335,35817.0,28607.0,75119.25,67065.5,30907.0,3409.25,3303.5,5226.0,3595.8333333333335,2906.0,47503.15,3688.1166666666663
0610401,32724,32724,35462,61658,13328,13328,14558,13248,35908,35908,66739,67516,,,,,,,,,,,,,29157,29157,27532,26495,29074,29074,27703,26666,15168,15168,19170,18933,15807,15807,16688,19644,1765,1803,5109,6410,1221,1243,2061,3341,1984,2014,7637,7372,,,,,,,,,,,,,2327,1835,3185,3680,2319,1865,3343,3838,1257,1203,2727,3960,1114,1121,2994,4204,40642.0,13615.5,51517.75,24441.416666666668,16986.5,3771.75,1966.5,4751.75,2628.25,2358.25,29440.63333333333,3095.3
0611501,11523,11523,18790,15389,16412,16412,22585,19594,16457,16457,22631,19640,,,,,,,,,,,,,39227,39227,39110,39113,39144,39144,39267,39270,32762,25796,34957,34650,20696,20696,20399,20399,1328,1305,5087,4748,1775,1805,5888,6645,1793,1822,5926,6683,,,,,,,,,,,,,2836,2473,6277,6277,2812,2517,6432,6432,2149,2000,6811,6687,1616,1618,4827,4827,14306.25,18750.75,18796.25,36805.583333333336,20547.5,3117.0,4028.25,4056.0,4475.25,3222.0,21841.26666666667,3779.7
0611601,10731,10731,15181,15238,16017,16017,19455,21182,16062,16062,19501,21228,,,,,,,,,,,,,28514,28514,29619,29628,28431,28431,29776,29785,17966,17966,19611,17684,14403,14403,18548,34454,977,924,3750,3134,1360,1330,5427,4428,1380,1349,5465,4466,,,,,,,,,,,,,2271,1711,3901,4196,2254,1744,4056,4351,1438,1292,3480,3060,1033,1002,4001,4025,12970.25,18167.75,18213.25,25493.75,20452.0,2196.25,3136.25,3165.0,2812.8333333333335,2515.25,19059.4,2765.116666666667
0610801,6621,6621,9261,9261,12190,12190,13585,13567,12236,12236,13631,13613,,,,,,,,,,,,,35215,35215,34197,34777,35132,35132,34354,34948,26332,26332,22924,24069,10365,10365,10644,11536,711,653,1471,1471,1117,1095,2496,2886,1136,1113,2534,2924,,,,,,,,,,,,,2399,1949,3038,4247,2407,1975,3193,4405,1741,1583,3518,3783,894,885,2975,2859,7941.0,12883.0,12929.0,31552.25,10727.5,1076.5,1898.5,1926.75,2853.1666666666665,1903.25,15206.55,1931.6333333333332
0610501,9001,9001,12445,11475,13889,13889,37893,15781,13935,13935,37939,15827,,,,,,,,,,,,,36704,36704,33772,33781,36621,36621,33929,33938,23274,23274,23764,23282,12064,12064,35978,13750,1020,956,2570,2776,1466,1461,4575,4191,1485,1475,4613,4229,,,,,,,,,,,,,2552,2104,3669,4048,2532,2140,3824,4203,1774,1647,3248,3338,1244,1241,4463,4164,10480.5,20363.0,20409.0,31305.333333333332,18464.0,1830.5,2923.25,2950.5,2923.25,2778.0,20204.366666666665,2681.1
