fid,CMUN,CODIGO,ETIQUETA,DESCR,PART_JUD,POB,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
64,"031","0318",Cadalso de los Vidrios,Cadalso De Los Vidrios,3,3170,46869,46407,46869,65270,65839,65270,,,,22189,29916,22189,46260,45418,46260,53771,55014,53771,4092,5334,4092,5066,6680,5066,,,,1968,3021,1968,3869,4854,3869,4313,5704,4313
65,"051","0513",Chapinería,Chapiner??a,3,2615,40804,53895,40804,40762,41494,40762,,,,45553,68770,45553,36270,44811,36270,40811,47636,40811,3776,5795,3776,3256,4595,3256,,,,4445,7559,4445,3882,5973,3882,3590,5387,3590
66,"059","0590",Fuente el Saz de Jarama,Fuente El Saz De Jarama,2,6594,30185,24835,30185,15671,13723,15671,30067,25754,30067,19321,17426,19321,19311,16532,19311,24104,20671,24104,3061,4280,3061,1492,1812,1492,2528,3196,2528,2193,3182,2193,1878,2436,1878,2280,3017,2280
67,"154","1548",Torres de la Alameda,Torres De La Alameda,14,7650,30800,42946,30800,17443,19277,17443,,,,14723,15366,14723,12853,12200,12853,18652,21813,18652,3560,5727,3560,2066,3093,2066,,,,2212,3574,2212,1780,2607,1780,2337,3619,2337
68,"056","0565",Fresnedillas de la Oliva,Fresnedillas De La Oliva,7,1764,29206,31813,29206,63729,91113,63729,46637,47231,46637,24605,26653,24605,28646,33370,28646,40871,46377,40871,3099,4313,3099,4940,6868,4940,3057,3248,3057,2543,3596,2543,3166,4537,3166,3274,4151,3274
69,"183","1837",Zarzalejo,Zarzalejo,7,1800,15961,17634,15961,33760,32959,33760,49900,54099,49900,10961,11903,10961,14474,17562,14474,32122,34622,32122,2127,3106,2127,3687,4965,3687,4204,5655,4204,1635,2535,1635,2360,3656,2360,3203,4461,3203
70,"157","1570",Valdelaguna,Valdelaguna,20,1065,60816,87996,60816,71522,83180,71522,,,,39807,50623,39807,40835,50274,40835,56901,71050,56901,5450,8756,5450,5572,8614,5572,,,,3343,5410,3343,3105,4293,3105,4609,7137,4609
71,"066","0663",Griñón,Gri????n,3,10707,27455,34420,27455,19275,17346,19275,,,,18719,22442,18719,17063,22482,17063,20357,22807,20357,3470,5467,3470,2098,2918,2098,,,,2538,4125,2538,2793,4713,2793,2599,4028,2599
72,"078","0783",Madarcos,Madarcos,1,63,52544,55317,52544,81604,91228,81604,88865,90523,88865,27693,31369,27693,94475,116669,94475,72341,79271,72341,5837,9429,5837,5696,8332,5696,5971,8222,5971,2454,3711,2454,7077,10948,7077,5501,8144,5501
73,"080","0800",Majadahonda,Majadahonda,12,73426,1070,1112,1070,32267,33595,32267,12064,12556,12064,11133,11430,11133,2021,1877,2021,11812,12240,11812,387,608,387,3267,4920,3267,1741,2390,1741,1333,1931,1333,507,679,507,1531,2187,1531
74,"182","1821",Villavieja del Lozoya,Villavieja Del Lozoya,1,292,63769,90139,63769,77954,96298,77954,85215,95593,85215,25504,39361,25504,90658,121406,90658,71386,89731,71386,6856,11988,6856,6125,9726,6125,6352,9521,6352,2522,4397,2522,7323,11954,7323,5922,9518,5922
75,"156","1564",Valdeavero,Valdeavero,4,1809,27486,35578,27486,29938,39177,29938,,,,25373,32506,25373,25312,33750,25312,27609,36038,27609,2966,4258,2966,3175,4998,3175,,,,2561,3942,2561,2726,4329,2726,2921,4505,2921
76,"109","1090",Pelayos de la Presa,Pelayos De La Presa,3,3106,59378,73232,59378,52059,52893,52059,,,,5983,7248,5983,55909,66280,55909,47072,51190,47072,4444,6557,4444,3904,5219,3904,,,,1175,1961,1175,4383,6413,4383,3660,5115,3660
77,"169","1697",Venturada,Venturada,1,2573,13182,14982,13182,37897,43284,37897,45234,42731,45234,20974,21465,20974,35930,39048,35930,33075,34040,33075,2354,3907,2354,3096,4602,3096,3422,4567,3422,2335,3605,2335,3850,5971,3850,3080,4536,3080
78,"153","1533",Torremocha de Jarama,Torremocha De Jarama,1,1111,5963,6092,5963,43887,42487,43887,57873,55232,57873,31695,33500,31695,60139,74690,60139,42905,44539,42905,1321,2087,1321,3761,5177,3761,4870,6741,4870,4625,7559,4625,5638,8762,5638,4181,6178,4181
79,"151","1512",Torrelaguna,Torrelaguna,1,4944,303,276,303,38391,37177,38391,52020,49207,52020,28661,31599,28661,47893,55881,47893,36548,37224,36548,140,220,140,2834,3781,2834,3777,4987,3777,3767,6248,3767,4247,6455,4247,3090,4447,3090
80,"101","1013",Olmeda de las Fuentes,Olmeda De Las Fuentes,14,404,33686,36760,33686,55562,58499,55562,56407,62264,56407,34093,36694,34093,33639,35795,33639,42677,46002,42677,3949,6154,3949,6039,9146,6039,5908,9157,5908,4629,7345,4629,3589,5240,3589,4823,7408,4823
81,"108","1087",Pedrezuela,Pedrezuela,5,6359,31012,30522,31012,25942,26188,25942,39707,38489,39707,45232,57899,45232,37351,48704,37351,36492,40048,36492,2980,4198,2980,2418,3426,2418,3317,4521,3317,4371,6824,4371,3972,6393,3972,3396,4981,3396
82,"006","0066",Alcobendas,Alcobendas,5,121330,4112,4691,4112,7001,7233,7001,11279,11212,11279,2978,2635,2978,3156,3364,3156,6634,6725,6634,953,1435,953,1050,1576,1050,1509,2153,1509,782,1253,782,744,1118,744,1091,1615,1091
83,"009","0091",Algete,Algete,2,21084,27004,29184,27004,12536,13418,12536,28340,27489,28340,16175,17128,16175,15436,14603,15436,21305,21552,21305,3230,4843,3230,1462,1898,1462,2423,3131,2423,2160,3248,2160,1910,2598,1910,2268,3142,2268
84,"145","1454",Talamanca de Jarama,Talamanca De Jarama,5,4243,32175,32013,32175,26915,27492,26915,41425,41091,41425,54561,60485,54561,52551,66609,52551,41509,44797,41509,3173,4351,3173,2286,2956,2286,3483,4633,3483,4264,6085,4264,4653,6938,4653,3557,4933,3557
85,"155","1551",Valdaracete,Valdaracete,14,613,31516,31373,31516,57421,59352,57421,60389,60929,60389,37535,36724,37535,32306,32206,32306,43833,44117,43833,2618,3487,2618,4787,6735,4787,4690,6549,4690,3032,4221,3032,2721,3517,2721,3570,4902,3570
86,"037","0376",Cenicientos,Cenicientos,3,2076,50915,50807,50915,69947,70312,69947,,,,26078,33350,26078,50440,49842,50440,58174,59321,58174,4066,4963,4066,5087,6282,5087,,,,1954,2683,1954,3823,4448,3823,4313,5317,4313
87,"079","0796",Madrid,Madrid,11,3422416,1686,1740,1686,13473,12782,13473,4885,4684,4885,1038,1034,1038,1438,1293,1438,4568,4369,4568,769,1109,769,2336,3193,2336,1196,1751,1196,498,728,498,568,706,568,1094,1540,1094
88,"065","0650",Getafe,Getafe,10,191421,5867,7886,5867,7508,7626,7508,,,,4408,4571,4408,2363,2335,2363,5530,5981,5530,1337,2292,1337,1397,2192,1397,,,,940,1490,940,791,1246,791,1168,1874,1168
89,"106","1065",Parla,Parla,16,134851,1121,1102,1121,13846,14895,13846,,,,3407,3697,3407,1767,1266,1767,6797,7171,6797,566,868,566,1974,2901,1974,,,,1089,1773,1089,721,1022,721,1265,1893,1265
90,"149","1492",Torrejón de la Calzada,Torrej??n De La Calzada,20,10288,17244,20643,17244,17249,18143,17249,,,,8576,8453,8576,5425,5503,5425,13148,14177,13148,2676,4261,2676,1818,2566,1818,,,,991,1348,991,801,1048,801,1621,2358,1621
91,"173","1739",Villamanrique de Tajo,Villamanrique De Tajo,14,805,40027,44064,40027,64655,69491,64655,71009,77840,71009,63172,65105,63172,40816,44898,40816,55936,60279,55936,2914,4195,2914,5418,8096,5418,5415,8101,5415,5256,7784,5256,3009,4204,3009,4402,6476,4402
92,"176","1760",Villanueva de la Cañada,Villanueva De La Ca??ada,6,23352,28983,36066,28983,58873,74747,58873,29081,30732,29081,24411,26296,24411,19458,20859,19458,31281,35737,31281,2967,4457,2967,4100,5973,4100,2489,3118,2489,2333,3346,2333,2070,2768,2070,2705,3699,2705
93,"181","1816",Villaviciosa de Odón,Villaviciosa De Od??n,6,29045,8083,7787,8083,12156,14463,12156,,,,3821,3542,3821,12006,13228,12006,10362,11773,10362,1690,2525,1690,1984,3038,1984,,,,1199,1959,1199,2278,3535,2278,1872,2882,1872
94,"030","0301",La Cabrera,La Cabrera,1,2926,17498,17596,17498,44487,49312,44487,51122,47353,51122,10068,9915,10068,48731,57499,48731,37171,38171,37171,2160,3330,2160,2956,4104,2956,3277,4073,3277,1171,1658,1171,3710,5451,3710,2758,3782,2758
95,"132","1322",San Martín de la Vega,San Mart??n De La Vega,20,20553,18198,20548,18198,30663,34702,30663,,,,18114,22254,18114,16579,17018,16579,22844,25845,22844,1919,2810,1919,3495,5423,3495,,,,2136,3147,2136,1336,1592,1336,2476,3679,2476
96,"045","0455",Colmenar Viejo,Colmenar Viejo,19,56637,848,1035,848,35949,37285,35949,26581,25278,26581,11669,11489,11669,1677,1622,1677,17218,16998,17218,154,238,154,2728,3700,2728,1906,2267,1906,1616,2453,1616,357,494,357,1444,1903,1444
97,"093","0936",Navacerrada,Navacerrada,19,3304,34082,43074,34082,15248,19611,15248,49084,52916,49084,3113,3325,3113,15202,19565,15202,30700,34903,30700,3622,5681,3622,1791,2767,1791,3574,4741,3574,1100,1794,1100,1764,2729,1764,2714,3884,2714
98,"111","1111",Pezuela de las Torres,Pezuela De Las Torres,4,958,23722,25346,23722,31133,32195,31133,,,,31621,31348,31621,24743,26690,24743,28470,29555,28470,2689,3670,2689,3303,4754,3303,,,,3685,5597,3685,2950,4094,2950,3186,4574,3186
99,"121","1219",Redueña,Redue??a,1,289,6652,6748,6652,42365,49366,42365,49627,48661,49627,20592,19631,20592,46674,57682,46674,35923,38458,35923,1078,1687,1078,3356,5060,3356,3742,5145,3742,2943,4854,2943,4304,6802,4304,3194,4782,3194
100,"091","0915",Morata de Tajuña,Morata De Taju??a,14,7650,10603,10661,10603,31699,33177,31699,36714,38220,36714,15007,16937,15007,10428,10301,10428,20890,21859,20890,1241,1617,1241,2933,4063,2933,2969,4040,2969,1398,2009,1398,1080,1189,1080,1924,2583,1924
101,"136","1369",Santorcaz,Santorcaz,4,981,21541,27263,21541,24799,29451,24799,,,,25775,29008,25775,25565,29906,25565,24496,29016,24496,1985,2776,1985,2556,3780,2556,,,,2504,3653,2504,2492,3662,2492,2419,3530,2419
102,"090","0908",Moralzarzal,Moralzarzal,19,14490,28385,36478,28385,7433,8497,7433,46197,51654,46197,7476,8859,7476,7387,8451,7387,27039,31035,27039,2900,4476,2900,1233,1792,1233,3009,3681,3009,1019,1435,1019,1206,1754,1206,2198,2929,2198
103,"124","1245",Robledillo de la Jara,Robledillo De La Jara,1,123,37011,46995,37011,77712,94176,77712,78605,80735,78605,22392,27759,22392,84830,108111,84830,63192,73085,63192,5892,9992,5892,5709,8503,5709,5233,6888,5233,2378,3494,2378,6199,9334,6199,5107,7517,5107
104,"070","0702",Horcajo de la Sierra-Aoslos,Horcajo De La Sierra-aoslos,1,198,50323,55466,50323,79307,91223,79307,86568,90518,86568,25396,31364,25396,88101,108510,88101,69377,77933,69377,5694,9457,5694,5549,8359,5549,5823,8250,5823,2307,3739,2307,6764,10631,6764,5327,8114,5327
105,"025","0259",Brea de Tajo,Brea De Tajo,14,526,38742,40122,38742,64622,68065,64622,67590,69642,67590,44736,45437,44736,39387,40679,39387,51015,52789,51015,3774,5541,3774,5410,7728,5410,5276,7482,5276,3632,5154,3632,3814,5444,3814,4381,6270,4381
106,"026","0262",Brunete,Brunete,6,10858,17585,18693,17585,64654,85354,64654,33610,35518,33610,12105,12426,12105,25325,29083,25325,31500,36016,31500,2324,3542,2324,4455,6578,4455,2626,3307,2626,1629,2583,1629,2540,3470,2540,2689,3728,2689
107,"104","1049",Paracuellos de Jarama,Paracuellos De Jarama,2,27105,15185,17179,15185,18880,21376,18880,25357,26453,25357,17072,18715,17072,19976,22873,19976,20305,22175,20305,1665,2521,1665,1688,2428,1688,2609,3717,2609,2270,3654,2270,2504,3973,2504,2224,3335,2224
108,"099","0992",Navas del Rey,Navas Del Rey,3,3328,49146,60903,49146,43922,44753,43922,,,,48619,70759,48619,43920,50436,43920,45339,51587,45339,3763,5785,3763,3232,4466,3232,,,,4318,7216,4318,3882,5986,3882,3556,5264,3556
109,"114","1147",Piñuécar-Gandullas,Pi??u??car-gandullas,1,151,44768,50155,44768,70059,78526,70059,79916,83011,79916,18555,23480,18555,85135,108376,85135,63058,71093,63058,5282,8791,5282,5188,7795,5188,5741,8251,5741,1971,3236,1971,6747,10736,6747,5112,7843,5112
110,"119","1198",Quijorna,Quijorna,6,3927,27706,29939,27706,66155,81448,66155,35592,36637,35592,23125,25471,23125,26005,26773,26005,35681,39077,35681,4872,8112,4872,6386,10228,6386,4678,7232,4678,4276,7345,4276,4201,6756,4201,4824,7734,4824
111,"029","0297",Cabanillas de la Sierra,Cabanillas De La Sierra,1,888,14203,18461,14203,39605,44144,39605,46236,42178,46236,14967,15441,14967,32853,33414,32853,32350,32636,32350,2221,3643,2221,2805,3864,2805,3130,3838,3130,1557,2336,1557,3303,4788,3303,2691,3718,2691
112,"097","0973",Navarredonda y San Mamés,Navarredonda Y San Mam??s,1,134,62686,83659,62686,76870,89817,76870,84132,89113,84132,24421,32881,24421,89575,114925,89575,70302,83251,70302,6543,11118,6543,5824,8856,5824,6050,8651,6050,2216,3527,2216,7025,11084,7025,5618,8648,5618
113,"180","1809",Villarejo de Salvanés,Villarejo De Salvan??s,14,7824,22432,22468,22432,46039,45853,46039,52563,54540,52563,28446,27810,28446,23077,23012,23077,34512,34736,34512,1800,2499,1800,3797,5405,3797,3729,5271,3729,2129,3045,2129,1728,2180,1728,2637,3680,2637
114,"141","1415",Sevilla la Nueva,Sevilla La Nueva,3,9679,8099,8237,8099,28979,33466,28979,,,,24154,32095,24154,8088,8214,8088,22322,26058,22322,914,1227,914,2537,3617,2537,,,,2769,4662,2769,1050,1468,1050,2126,3118,2126
115,"160","1603",Valdemorillo,Valdemorillo,7,13999,21274,25188,21274,36379,47044,36379,37478,40317,37478,16718,20108,16718,22313,27539,22313,29874,34404,29874,2363,3465,2363,3964,5658,3964,3230,4311,3230,1867,2864,1867,2428,3500,2428,2902,4060,2902
116,"008","0088",Aldea del Fresno,Aldea Del Fresno,3,3329,20174,19858,20174,38431,38952,38431,,,,8882,2359,8882,19672,18839,19672,28922,28123,28922,1947,2601,1947,2970,3856,2970,,,,726,609,726,1741,2157,1741,2328,2970,2328
117,"010","0105",Alpedrete,Alpedrete,15,15655,5535,6207,5535,5037,6592,5037,38606,39830,38606,5425,6939,5425,4991,6546,4991,19544,20825,19544,970,1340,970,1030,1593,1030,3073,4061,3073,1154,1839,1154,1003,1555,1003,1911,2644,1911
118,"020","0203",Berzosa del Lozoya,Berzosa Del Lozoya,1,225,37420,44293,37420,78121,91474,78121,79014,78033,79014,21784,25057,21784,85239,105409,85239,63432,70383,63432,6091,10075,6091,5892,8586,5892,5421,6971,5421,2528,3577,2528,6407,9417,6407,5293,7600,5293
119,"024","0246",Braojos,Braojos,1,218,58073,75613,58073,69846,76950,69846,76027,74085,76027,17495,20211,17495,73160,83276,73160,61771,67370,61771,5665,9487,5665,5030,7422,5030,5269,7232,5269,2048,3324,2048,5861,8911,5861,4857,7268,4857
120,"027","0278",Buitrago del Lozoya,Buitrago Del Lozoya,1,1963,37502,42419,37502,59561,64326,59561,66191,62360,66191,7109,7386,7109,62932,70768,62932,49914,51603,49914,3862,6307,3862,3756,5285,3756,4077,5259,4077,777,1212,777,4761,7134,4761,3552,5076,3552
121,"050","0506",Cubas de la Sagra,Cubas De La Sagra,3,6813,35047,47777,35047,22368,24161,22368,,,,15427,17646,15427,11964,14071,11964,21435,25563,21435,3510,5485,3510,2302,3353,2302,,,,1793,2627,1793,1449,2010,1449,2271,3366,2271
122,"158","1586",Valdemanco,Valdemanco,1,1060,21560,22916,21560,50527,56056,50527,58658,57091,58658,17802,18196,17802,38911,35167,38911,41019,41086,41019,2626,3858,2626,4196,6281,4196,4245,5698,4245,1985,2947,1985,2878,3469,2878,3362,4659,3362
123,"039","0395",Cervera de Buitrago,Cervera De Buitrago,1,146,34916,44767,34916,63797,68311,63797,77428,80344,77428,15167,15272,15167,82088,104592,82088,58470,65605,58470,4181,6646,4181,5138,7440,5138,6091,8682,6091,1434,1700,1434,6978,10965,6978,4986,7352,4986
124,"147","1473",Titulcia,Titulcia,20,1351,14649,15658,14649,34837,35652,34837,,,,14491,16774,14491,23929,28174,23929,24548,26382,24548,1984,2933,1984,3076,4231,3076,,,,2401,3762,2401,2524,3873,2524,2612,3806,2612
125,"115","1150",Pozuelo de Alarcón,Pozuelo De Alarc??n,21,88908,3884,3892,3884,39665,40797,39665,12313,13024,12313,3371,3487,3371,11904,11222,11904,13681,14067,13681,975,1524,975,3666,5499,3666,2029,2913,2029,752,1177,752,2001,2914,2001,1926,2836,1926
126,"068","0685",Guadarrama,Guadarrama,15,17021,11427,9986,11427,12736,15660,12736,46266,48626,46266,10003,10195,10003,12690,15614,12690,26522,28190,26522,1161,1439,1161,1768,2481,1768,3373,4465,3373,1318,1615,1318,1740,2443,1740,2301,3053,2301
127,"060","0604",Fuentidueña de Tajo,Fuentidue??a De Tajo,14,2283,36062,36395,36062,60244,60929,60244,64932,65945,64932,42202,41990,42202,36915,37357,36915,48071,48523,48071,2760,3888,2760,4862,7007,4862,4862,7008,4862,3238,4747,3238,2808,3807,2808,3706,5292,3706
128,"042","0421",Colmenar del Arroyo,Colmenar Del Arroyo,7,1951,31299,33313,31299,59282,74843,59282,,,,68650,109225,68650,53729,69425,53729,55829,73048,55829,3215,4451,3215,5160,8251,5160,,,,5926,10310,5926,4906,7963,4906,4956,7961,4956
129,"046","0468",Collado Mediano,Collado Mediano,15,7527,10861,11878,10861,9627,11467,9627,44215,46276,44215,11961,13736,11961,9581,11421,9581,24954,26761,24954,1134,1350,1134,1209,1685,1209,3312,4291,3312,2019,3232,2019,1181,1647,1181,2211,2970,2211
130,"071","0719",Horcajuelo de la Sierra,Horcajuelo De La Sierra,1,107,48524,45326,48524,76701,79469,76701,83962,78764,83962,25241,24512,25241,89572,104910,89572,67994,68624,67994,7120,11822,7120,7329,11444,7329,7614,11356,7614,3258,5144,3258,8668,13961,8668,6934,10847,6934
131,"072","0724",Hoyo de Manzanares,Hoyo De Manzanares,19,8954,17598,17707,17598,20634,26079,20634,32802,35309,32802,16848,20607,16848,20588,26033,20588,24868,28050,24868,1924,2351,1924,2842,4420,2842,2647,3400,2647,2362,3699,2362,2814,4382,2814,2555,3579,2555
132,"075","0758",Loeches,Loeches,14,9166,23698,34021,23698,28613,29478,28613,30561,35449,30561,12445,13393,12445,21582,31061,21582,23380,28680,23380,3067,5086,3067,3262,4781,3262,3424,5364,3424,1869,2820,1869,2780,4580,2780,2880,4526,2880
133,"004","0040",El Álamo,El Álamo,3,10333,8015,7979,8015,24030,25153,24030,,,,24191,25385,24191,8409,8323,8409,19533,20329,19533,1124,1466,1124,2550,3763,2550,,,,2870,4381,2870,1292,1649,1292,2212,3221,2212
134,"001","0014",La Acebeda,La Acebeda,1,53,50556,55460,50556,79616,91371,79616,86878,90666,86878,25705,31512,25705,92487,116812,92487,70353,79414,70353,5749,9515,5749,5608,8418,5608,5871,8308,5871,2362,3797,2362,6994,11034,6994,5409,8230,5409
135,"126","1261",Robregordo,Robregordo,1,68,51648,56776,51648,75066,81402,75066,88065,92172,88065,21158,21548,21158,69269,69507,69269,65545,68929,65545,4846,7779,4846,4632,6557,4632,5630,7882,5630,1871,2897,1871,5752,8618,5752,4727,6936,4727
136,"086","0869",El Molar,El Molar,5,9435,29638,27145,29638,24500,22675,24500,38082,34612,38082,43474,53753,43474,39095,51564,39095,35478,37394,35478,2801,3940,2801,1884,2457,1884,2904,3799,2904,3958,6104,3958,3814,6177,3814,3044,4379,3044
137,"063","0632",Gargantilla del Lozoya y Pinilla de Buitrago,Gargantilla Del Lozoya Y Pinilla De Buitrago,1,327,59171,78640,59171,73355,84798,73355,80616,84093,80616,20905,27862,20905,86060,109906,86060,66787,78232,66787,6280,10685,6280,5562,8423,5562,5789,8219,5789,1950,3095,1950,6748,10651,6748,5353,8215,5353
138,"005","0053",Alcalá de Henares,Alcal?? De Henares,4,199590,3119,3286,3119,6836,7079,6836,,,,1347,1113,1347,1360,1416,1360,3899,3995,3899,1169,1717,1169,1562,2569,1562,,,,585,946,585,356,505,356,1047,1661,1047
139,"049","0493",Coslada,Coslada,13,80688,1613,1549,1613,12954,10341,12954,12989,12366,12989,3134,2536,3134,1825,1715,1825,6503,5701,6503,712,1133,712,2110,2931,2110,2399,3703,2399,820,1359,820,674,1013,674,1343,2028,1343
140,"054","0549",El Escorial,El Escorial,7,17236,7661,8021,7661,18558,18435,18558,43277,41396,43277,3829,3686,3829,5963,7178,5963,23692,23073,23692,1449,2215,1449,2299,3096,2299,3486,4516,3486,1062,1605,1062,1265,1855,1265,2362,3189,2362
141,"017","0170",Batres,Batres,3,1894,25345,35764,25345,28420,32275,28420,,,,19950,19835,19950,26924,33944,26924,25812,30818,25812,2887,4623,2887,3126,4755,3126,,,,2670,4070,2670,3107,4873,3107,2983,4615,2983
142,"164","1646",Valdetorres de Jarama,Valdetorres De Jarama,2,5010,41056,42772,41056,21619,21816,21619,36144,35398,36144,47906,53115,47906,25432,24786,25432,34717,35547,34717,4548,7026,4548,2069,2713,2069,3250,4353,3250,4004,5797,4004,2502,3393,2502,3270,4606,3270
143,"002","0029",Ajalvir,Ajalvir,2,4943,9851,9850,9851,26265,30929,26265,33096,33492,33096,10974,11230,10974,30543,36833,30543,23971,25971,23971,1667,2398,1667,3332,5384,3332,3595,5422,3595,2223,3559,2223,3777,6226,3777,3032,4735,3032
144,"159","1599",Valdemaqueda,Valdemaqueda,7,828,37845,47225,37845,77147,105557,77147,67857,61676,67857,32935,42064,32935,30635,38590,30635,54590,59781,54590,3667,5083,3667,5455,7464,5455,3849,3844,3849,3158,4525,3158,3610,5324,3610,3919,4847,3919
145,"061","0611",Galapagar,Galapagar,15,35745,7944,9031,7944,12954,14377,12954,32210,32143,32210,10336,11180,10336,12514,13777,12514,20054,20685,20054,1173,1662,1173,2045,3026,2045,2919,3877,2919,1874,2928,1874,1988,2938,1988,2262,3169,2262
146,"085","0856",Miraflores de la Sierra,Miraflores De La Sierra,19,7116,20453,19728,20453,54990,62677,54990,45649,44756,45649,52098,70420,52098,22209,20801,22209,40175,43856,40175,1668,1999,1668,4250,6192,4250,3252,4051,3252,4804,7835,4804,1779,2208,1779,3167,4389,3167
147,"144","1441",Soto del Real,Soto Del Real,19,9296,11167,11392,11167,48324,53310,48324,36318,36420,36318,21465,23150,21465,12877,12466,12877,27745,28860,27745,1261,1706,1261,4013,5840,4013,2858,3755,2858,2713,4245,2713,1375,1916,1375,2513,3536,2513
148,"901","9015",Lozoyuela-Navas-Sieteiglesias,Lozoyuela-navas-sieteiglesias,1,1396,29294,33879,29294,52075,55284,52075,60304,56515,60304,1452,1459,1452,57059,64951,57059,43415,44767,43415,3349,5492,3349,3488,4934,3488,3960,5209,3960,393,640,393,4637,7070,4637,3298,4759,3298
149,"129","1296",San Agustín del Guadalix,San Agust??n Del Guadalix,5,13743,22514,20801,22514,17416,16409,17416,31042,28434,31042,34715,47316,34715,34262,53360,34262,28499,32459,28499,2350,3197,2350,1537,1939,1537,2560,3279,2560,3466,5513,3466,3346,5664,3346,2637,3812,2637
150,"084","0843",Mejorada del Campo,Mejorada Del Campo,13,21714,10682,11144,10682,21648,22539,21648,22283,25884,22283,14969,18935,14969,21166,32336,21166,18150,22168,18150,1613,2137,1613,2864,4299,2864,2715,4255,2715,2123,3258,2123,2576,4172,2576,2378,3624,2378
