Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;"009 Algete";"601";"601";"90601";PRADO NORTE;NUC;"2208";2208
28 Madrid;"009 Algete";"801";"801";"90801";SANTO DOMINGO;NUC;"3211";3211
28 Madrid;"009 Algete";"1101";"1101";"91101";DEHESA NUEVA;NUC;"10";10
28 Madrid;"010 Alpedrete";"101";"101";"100101";ALPEDRETE;NUC;"11950";11950
28 Madrid;"010 Alpedrete";"1701";"1701";"101701";VALDENCINA;NUC;"350";350
28 Madrid;"010 Alpedrete";"1801";"1801";"101801";NEGRALES-LOS LLANOS (LOS);NUC;"3355";3355
28 Madrid;"011 Ambite";"101";"101";"110101";AMBITE;NUC;"423";423
28 Madrid;"011 Ambite";"201";"201";"110201";SIERRA DE TAJUÑA;NUC;"270";270
28 Madrid;"012 Anchuelo";"101";"101";"120101";ANCHUELO;NUC;"1369";1369
28 Madrid;"012 Anchuelo";"201";"201";"120201";CERRO DE MIRALBUENO;NUC;"0";0
